CstmrCD,Cstmr.Name,Mfg.No.,RE,ProductName
TS002,,PO0068,0313A CUTTING PRESS STOPPER,RS60
TS002,,PO0068,0313B CUTTING PRESS STOPPER,RF2060
TS002,,PO0068,0314 CONTACT PLATE#60,
TS002,,PO0068,0315 COLLECTION RF2060R,
TS002,,PO0068,0316A SPACER (RS60),
TS002,,PO0068,0316B SPACER (RF2060),
TS002,,PO0066,0008 TABLE PAD,RS40-160
TS002,,PO0068,0317A SUPPORT RAIL (RS60),
TS002,,PO0068,0317B  SUPPORT RAIL(RF2060),
TS002,,PO0066,0010A ADAPTE BLOCK A,RS40-160
TS002,,PO0067,0301 RIVETTING PUNCH,RS60
TS002,,PO0067,0302 WIDTH ADJUST PUNCH (#60),"RS60, RF2060"
TS002,,PO0067,0303A GUIDE DIATANCE,RS60
TS002,,PO0067,0303B GUIDE DISTANCE (RF2060),RF2060
TS002,,PO0067,0304A RIVETING RALL (RS60),RS60
TS002,,PO0067,0304B RIVETING RALL (RF2060),RF2060
TS002,,PO0067,0305A RIVETING ROLLER GUIDE,RS60-1
TS002,,PO0067,0305C RIVETING ROLLER GUIDE,RF0260S
TS002,,PO0067,0305D RIVETING ROLLER GUDIE,RF2060R
TS002,,PO0067,0306A RIVETING PUNCH HOLDER,RS60
TS002,,PO0067,0306B RIVETING PUNCH HOLDER,RF2060
TS002,,PO0067,0307A RIVETING PUNCH SUPPORT,RS60
TS002,,PO0067,0307B RIVETING PUNCH SUPPORT,RF2060
TS002,,PO0067,0308 DISTANCE PLATE (#60)T10,RS60
TS002,,PO0067,0308 DISTANCE PLATE (#60)T 9.8,RS60
TS002,,PO0067,0308 DISTANCE PLATE (#60)T10.2,RS60
TS002,,PO0066,0011 HANDLE,RS40-160
UTT001,,FREE ASADA SAN,LUB TESTER MAIN PLATE,
UTT001,,PO-25090004,300TEST,
UTT001,,PO-25090004,CRANK CASE SIMULATION TEST,
UTT001,,,MATERIAL SURVEY (ENDO FORGING),
UTT004,,TEST Press Fit 1000 ton,75-96389420-1 #4420,500D UFJ105 OUTER
UTT004,,TEST Press Fit 1000 ton,75-96389421-1 #4421,500D UFJ105 OUTER
UTT004,,TEST Press Fit 1000 ton,75-96389422-1 #4422,500D UFJ105 OUTER
UTT004,,,UPPER JAW,
UTT004,,,LOWER JAW,
UTT004,,,PLATE FOR PRESS  Lower Base,
UTT004,,,PLATE FOR PRESS Lower Base,MACHINE-REV.2
UTT004,,,WELDIWNG TEST,
UTT004,,,WELDIWNG TEST,
UN013,,,SW-LA,
YA004,,GP050039,6-55575-000-0003,63C MN/B FIX
YA004,,GP050039,6-55575-000-0004,63C MN/B FIX
YA004,,GP050039,6-55575-000-0005,63C MN/B MOVE
YA004,,GP050039,6-55575-000-0006,63C MN/B MOVE
YA004,,GP050617,6-55687-000-0003,FIX CAVITY-0003
YA004,,GP050617,6-55687-000-0004,FIX CAVITY-0004
YA004,,GP050617,6-55687-000-0005,MOVE CAVITY-0005
YA004,,GP060005,00-5R0-15112-0000-Z1,MOVE CAVITY
YA004,,GP060005,00-5R0-15112-0000-Z1,FIX CAVITY
YA004,,GP060361,6-55696-000-0004,"6MD CASE W/P MOVE CAVITY #5,6"
YA004,,GP050617,6-55687-000-0006,MOVE CAVITY-0006
YA004,,GP060361,6-55696-000-0003,6MD CASE W/P FIX CAVITY #5.6
,,,,
